iteration,loss,n_evals_per_iter,cumulative_evals,param_displacement_norm,gradient_spread,iteration_classification,spearman_correlation_vs_iter1
247,0.6146429919272562,211,52363,0.0106073808515114,8710.956014187339,plateau,0.8763846280932837
248,0.6215376194001551,211,52575,0.0063543097279167,32897.44595389516,plateau,0.7223260650549251
249,0.6140205156327556,211,52787,0.0073870528261972,10655.144980222358,progress,0.9097757318760064
250,0.6072464207845418,211,52999,0.0068065085268316,43037.11363726605,progress,0.7206143320386275
251,0.6416552886422415,211,53211,0.008463641507771,9707.61848658157,plateau,0.9120031876330206
252,0.6425529676288436,211,53423,0.0024158685761302,13343.227842380746,plateau,0.874723430722433
253,0.6213461041622043,211,53635,0.0046876638914642,26138.75990164621,progress,0.7489233639894651
254,0.6121688160796589,211,53847,0.0048681927203572,5229.829167807177,progress,0.8678596534420929
255,0.6110930055885881,211,54059,0.0212992337301669,20203.46160722662,progress,0.3177830401078094
256,0.6188268724141427,211,54271,0.0212644423941328,12538.796325180228,plateau,0.9625919602971236
257,0.6170028097345247,211,54483,0.0054370968837169,34377.67710109241,progress,0.6820556345624942
258,0.6061060749178546,211,54695,0.006677139073748,28329.321432179862,progress,0.8961349949626327
259,0.5976977659575332,211,54907,0.0089200038167353,31949.98781021751,progress,0.755342686747027
260,0.6146219346669849,211,55119,0.0119609540302278,18703.88871299594,plateau,0.7939894976562475
261,0.6035997122804045,211,55331,0.0068792148040502,31007.5241564066,progress,0.8568338122341613
262,0.605916375313591,211,55543,0.0060924258147877,35724.93259029544,plateau,0.7442313236775695
263,0.6094180654101549,211,55755,0.0039566599739693,3153.0976263309426,plateau,0.976725095807161
264,0.6045272008374305,211,55967,0.0089976975427073,39638.05770537533,progress,0.5076234316942723
265,0.6058491773666782,211,56179,0.009009451680992,10828.098485903194,plateau,0.8577862147829721
266,0.6039967627738715,211,56391,0.0028748139502559,22016.99896295184,progress,0.8755436631216128
267,0.6083861043247691,211,56603,0.0044254787376212,11897.016788021156,plateau,0.8336496130459713
268,0.6070823495530555,211,56815,0.0039622596152193,17797.2835450912,progress,0.8574350568364038
269,0.609204329814114,211,57027,0.0061242493715423,19022.06724478268,plateau,0.8005500610639049
270,0.6100426160222601,211,57239,0.0070763355622031,25711.98182379176,plateau,0.7585704891267376
271,0.6003151562137534,211,57451,0.0047083480461874,49281.733691999456,progress,0.8772813118535243
272,0.5952750151272569,211,57663,0.0033079145558463,35004.91491772929,progress,0.8777840767364339
273,0.5915773473981476,211,57875,0.0039159404820405,20592.85618422988,progress,0.9016252393154364
274,0.6011746368139199,211,58087,0.0049591026423761,17074.068576716436,plateau,0.7654303790497354
275,0.6015191238777475,211,58299,0.0039181067951245,14955.749983601936,plateau,0.8258152922158908
276,0.5987536273982261,211,58511,0.0067007020107216,24855.63736467106,progress,0.875868905352567
277,0.6067752492482762,211,58723,0.0041098268311891,13992.222537319063,plateau,0.9085615805994952
278,0.5948631135786133,211,58935,0.004295008894845,22310.99900652565,progress,0.7896201080037448
279,0.5913413856974659,211,59147,0.0075637709378309,27092.148790321608,progress,0.5390889978068825
280,0.5850134919895527,211,59359,0.0050202986389658,34229.36125271656,progress,0.5853939026800089
281,0.5951726131041094,211,59571,0.0133299606137129,86767.22824356514,plateau,0.5948194484487824
282,0.5996598389992919,211,59783,0.0090731028448401,26502.88234357381,plateau,0.8486599955295391
283,0.5982540114590449,211,59995,0.0016731540393079,8368.570347737137,progress,0.9504608138182596
284,0.5921932076524569,211,60207,0.0084060439226437,26102.113299292723,progress,0.7881027428545512
285,0.5912731549141947,211,60419,0.0133847595297735,31712.11641731145,plateau,0.6217743842587944
286,0.5996021608849009,211,60631,0.0309911500441329,53591.850234794736,plateau,0.5301454843485275
287,0.6281200715103994,211,60843,0.0224284500160351,39054.91028407062,plateau,0.943569825036525
288,0.6006491957807513,211,61055,0.002046812294663,39875.54852368763,progress,0.9092172482045268
289,0.5849751190888434,211,61267,0.0037001642784728,42302.79717552241,progress,0.9082842824424264
290,0.5859925462769999,211,61479,0.0046520074827572,13856.494935169025,plateau,0.8090076548544994
291,0.5926474130777879,211,61691,0.0035607706167974,17436.744631819773,plateau,0.8252166391852098
292,0.5890978694721773,211,61903,0.0133625691591315,19835.899794935343,progress,0.5614996128839981
293,0.5902798888763657,211,62115,0.0135807975360266,9602.568246342486,plateau,0.7343120835263515
294,0.5944283118679613,211,62327,0.0044158610742614,22183.92064890386,plateau,0.8063331530031455
295,0.5857268118593348,211,62539,0.0141756609060308,33611.25447382688,progress,0.5640847055164839
296,0.6016254608066063,211,62751,0.0149850772568334,36646.93048971873,plateau,0.9022446249186084
297,0.5947698390181309,211,62963,0.0019203984892098,18882.052405123344,progress,0.8897804614941058
298,0.5891370444999345,211,63175,0.0039705915779939,13272.728271998909,progress,0.9550478954819188
299,0.5884705710199932,211,63387,0.0024330141811341,6909.3266312606265,plateau,0.8708619890959627
300,0.5830642517921688,211,63599,0.0084412636097556,32229.328617716623,progress,0.6837945790801864
301,0.6089547080337812,211,63811,0.0078226605653545,41058.36875506712,plateau,0.9653169977939248
302,0.5890038409925258,211,64023,0.0038846522595823,15495.636157578776,progress,0.9286255276277726
